"Input","SYMBOL","Species"
"ARHGAP23-Macaca mulatta","ARHGAP23","Macaca mulatta"
"ARHGAP26-Macaca mulatta","ARHGAP26","Macaca mulatta"
"ARHGAP32-Macaca mulatta","ARHGAP32","Macaca mulatta"
"ARHGAP33-Macaca mulatta","ARHGAP33","Macaca mulatta"
"ARHGAP39-Macaca mulatta","ARHGAP39","Macaca mulatta"
"ARHGAP44-Macaca mulatta","ARHGAP44","Macaca mulatta"
"ARHGEF11-Macaca mulatta","ARHGEF11","Macaca mulatta"
"ARHGEF2-Macaca mulatta","ARHGEF2","Macaca mulatta"
"ARHGEF7-Macaca mulatta","ARHGEF7","Macaca mulatta"
"ARHGEF9-Macaca mulatta","ARHGEF9","Macaca mulatta"
"ARL10-Macaca mulatta","ARL10","Macaca mulatta"
"ARL8B-Macaca mulatta","ARL8B","Macaca mulatta"
"ARMC1-Macaca mulatta","ARMC1","Macaca mulatta"
"ARMCX4-Macaca mulatta","ARMCX4","Macaca mulatta"
"ARPC1A-Macaca mulatta","ARPC1A","Macaca mulatta"
"ARPC2-Macaca mulatta","ARPC2","Macaca mulatta"
"ARPC3-Macaca mulatta","ARPC3","Macaca mulatta"
"ARPC5L-Macaca mulatta","ARPC5L","Macaca mulatta"
"ARVCF-Macaca mulatta","ARVCF","Macaca mulatta"
"ASIC1-Macaca mulatta","ASIC1","Macaca mulatta"
"ASTN1-Macaca mulatta","ASTN1","Macaca mulatta"
"ASTN2-Macaca mulatta","ASTN2","Macaca mulatta"
"ATG4D-Macaca mulatta","ATG4D","Macaca mulatta"
"ATP13A1-Macaca mulatta","ATP13A1","Macaca mulatta"
"ATP1A1-Macaca mulatta","ATP1A1","Macaca mulatta"
"ATP1A3-Macaca mulatta","ATP1A3","Macaca mulatta"
"ATP1A4-Macaca mulatta","ATP1A4","Macaca mulatta"
"ATP1B1-Macaca mulatta","ATP1B1","Macaca mulatta"
"ATP1B2-Macaca mulatta","ATP1B2","Macaca mulatta"
"ATP2A2-Macaca mulatta","ATP2A2","Macaca mulatta"
"ATP2B1-Macaca mulatta","ATP2B1","Macaca mulatta"
"ATP2B2-Macaca mulatta","ATP2B2","Macaca mulatta"
"ATP2B3-Macaca mulatta","ATP2B3","Macaca mulatta"
"ATP2B4-Macaca mulatta","ATP2B4","Macaca mulatta"
"ATP6AP1-Macaca mulatta","ATP6AP1","Macaca mulatta"
"ATP6AP2-Macaca mulatta","ATP6AP2","Macaca mulatta"
"ATP6V0A1-Macaca mulatta","ATP6V0A1","Macaca mulatta"
"ATP6V0D1-Macaca mulatta","ATP6V0D1","Macaca mulatta"
"ATP6V1A-Macaca mulatta","ATP6V1A","Macaca mulatta"
"ATP6V1B2-Macaca mulatta","ATP6V1B2","Macaca mulatta"
"ATP6V1C1-Macaca mulatta","ATP6V1C1","Macaca mulatta"
"ATP6V1D-Macaca mulatta","ATP6V1D","Macaca mulatta"
"ATP6V1E1-Macaca mulatta","ATP6V1E1","Macaca mulatta"
"ATP6V1F-Macaca mulatta","ATP6V1F","Macaca mulatta"
"ATP6V1G2-Macaca mulatta","ATP6V1G2","Macaca mulatta"
"ATP6V1H-Macaca mulatta","ATP6V1H","Macaca mulatta"
"ATP8A1-Macaca mulatta","ATP8A1","Macaca mulatta"
"ATP8A2-Macaca mulatta","ATP8A2","Macaca mulatta"
"ATP9A-Macaca mulatta","ATP9A","Macaca mulatta"
"ATXN10-Macaca mulatta","ATXN10","Macaca mulatta"
"B3GALT6-Macaca mulatta","B3GALT6","Macaca mulatta"
"B3GAT3-Macaca mulatta","B3GAT3","Macaca mulatta"
"B4GALNT1-Macaca mulatta","B4GALNT1","Macaca mulatta"
"BAG6-Macaca mulatta","BAG6","Macaca mulatta"
"BAIAP2-Macaca mulatta","BAIAP2","Macaca mulatta"
"BASP1-Macaca mulatta","BASP1","Macaca mulatta"
"BCAN-Macaca mulatta","BCAN","Macaca mulatta"
"BCAP31-Macaca mulatta","BCAP31","Macaca mulatta"
"BCAR1-Macaca mulatta","BCAR1","Macaca mulatta"
