"Input","SYMBOL","Species"
"APOL2-Homo sapiens","APOL2","Homo sapiens"
"APP-Homo sapiens","APP","Homo sapiens"
"APPL1-Homo sapiens","APPL1","Homo sapiens"
"AQP4-Homo sapiens","AQP4","Homo sapiens"
"ARCN1-Homo sapiens","ARCN1","Homo sapiens"
"ARF1-Homo sapiens","ARF1","Homo sapiens"
"ARF4-Homo sapiens","ARF4","Homo sapiens"
"ARFGAP2-Homo sapiens","ARFGAP2","Homo sapiens"
"ARFGEF2-Homo sapiens","ARFGEF2","Homo sapiens"
"ARHGAP1-Homo sapiens","ARHGAP1","Homo sapiens"
"ARHGAP21-Homo sapiens","ARHGAP21","Homo sapiens"
"ARHGAP23-Homo sapiens","ARHGAP23","Homo sapiens"
"ARHGAP26-Homo sapiens","ARHGAP26","Homo sapiens"
"ARHGAP31-Homo sapiens","ARHGAP31","Homo sapiens"
"ARHGAP32-Homo sapiens","ARHGAP32","Homo sapiens"
"ARHGAP33-Homo sapiens","ARHGAP33","Homo sapiens"
"ARHGAP35-Homo sapiens","ARHGAP35","Homo sapiens"
"ARHGAP39-Homo sapiens","ARHGAP39","Homo sapiens"
"ARHGAP44-Homo sapiens","ARHGAP44","Homo sapiens"
"ARHGDIA-Homo sapiens","ARHGDIA","Homo sapiens"
"ARHGEF2-Homo sapiens","ARHGEF2","Homo sapiens"
"ARHGEF7-Homo sapiens","ARHGEF7","Homo sapiens"
"ARL10-Homo sapiens","ARL10","Homo sapiens"
"ARL3-Homo sapiens","ARL3","Homo sapiens"
"ARL6IP1-Homo sapiens","ARL6IP1","Homo sapiens"
"ARL6IP5-Homo sapiens","ARL6IP5","Homo sapiens"
"ARL8A-Homo sapiens","ARL8A","Homo sapiens"
"ARL8B-Homo sapiens","ARL8B","Homo sapiens"
"ARMC1-Homo sapiens","ARMC1","Homo sapiens"
"ARMC6-Homo sapiens","ARMC6","Homo sapiens"
"ARPC1A-Homo sapiens","ARPC1A","Homo sapiens"
"ARPC2-Homo sapiens","ARPC2","Homo sapiens"
"ARPC3-Homo sapiens","ARPC3","Homo sapiens"
"ARPC4-Homo sapiens","ARPC4","Homo sapiens"
"ARVCF-Homo sapiens","ARVCF","Homo sapiens"
"ATAT1-Homo sapiens","ATAT1","Homo sapiens"
"ATCAY-Homo sapiens","ATCAY","Homo sapiens"
"ATIC-Homo sapiens","ATIC","Homo sapiens"
"ATL1-Homo sapiens","ATL1","Homo sapiens"
"ATL2-Homo sapiens","ATL2","Homo sapiens"
"ATP13A1-Homo sapiens","ATP13A1","Homo sapiens"
"ATP1A1-Homo sapiens","ATP1A1","Homo sapiens"
"ATP1A2-Homo sapiens","ATP1A2","Homo sapiens"
"ATP1A3-Homo sapiens","ATP1A3","Homo sapiens"
"ATP1B1-Homo sapiens","ATP1B1","Homo sapiens"
"ATP1B2-Homo sapiens","ATP1B2","Homo sapiens"
"ATP1B3-Homo sapiens","ATP1B3","Homo sapiens"
"ATP2A2-Homo sapiens","ATP2A2","Homo sapiens"
"ATP2B1-Homo sapiens","ATP2B1","Homo sapiens"
"ATP2B2-Homo sapiens","ATP2B2","Homo sapiens"
